階層|属性の名称|属性ラベル|説明
語彙素|語彙素読み|lForm|語彙素見出し（カタカナ表記）
|語彙素表記|lemma|語彙素見出し（漢字仮名混じり表記）
|語種|goshu|語種の名称
語形|語形基本形|form|語形見出し
|品詞|pos|品詞の名称
|活用型|cType|活用の種類（型）
|活用形|cForm|活用の形
|語頭変化型|iType|語頭音変化の種類（型）
|語頭変化形|iForm|語頭音変化の形
|語頭変化結合型|iConType|後続要素の語頭変化形への制約の種類（型）
|語末変化型|fType|語末音変化の種類（型）
|語末変化形|fForm|語末音変化の形
|語末変化結合型|fConType|前接要素の語末変化形への制約の種類（型）
書字形|書字形基本形|orthBase|書字形見出し
|書字形出現形|orth|書字形基本形が活用変化を受けたもの
|仮名形基本形|kanaBase|書字形基本形をカタカナ表記にしたもの
|仮名形出現形|kana|書字形出現形をカタカナ表記にしたもの
発音形|発音形基本形|pronBase|発音形見出し
|発音形出現形|pron|発音形基本形が活用変化を受けたもの
|アクセント型|aType|アクセント核の位置
|アクセント修飾型|aModType|活用によるアクセント変化の種類（型）
|アクセント結合型|aConType|前接（後続）要素との結合時のアクセント変化の種類（型）
