id	word	readings	meanings
1293810	最後	さいご	"last;end;conclusion;latest;most recent
no sooner than;right after (often having negative consequences)
one's final moments"
1252360	警告	けいこく	warning;advice
1588840	覆う;被う;掩う;蔽う;蓋う	おおう	to cover;to hide;to conceal;to wrap;to disguise
1343300	所詮;所せん	しょせん;そせん	after all
1510650	変える	かえる	"to change;to alter;to transform;to convert;to turn;to vary
to reform;to revise;to amend"
1550830	離す	はなす	to separate;to part;to divide;to keep apart
1251900	繋ぐ	つなぐ	"to connect;to link together
to tie;to fasten;to restrain
to maintain;to preserve;to keep
to transfer (phone call);to put a person through
to hedge;to buy or sell forward"
1199900	壊れる;毀れる	こわれる	"to be broken;to break
to fall through;to come to nothing"
1199890	壊す;毀す	こわす	"to break;to destroy;to demolish
to wreck;to ruin;to spoil;to damage
to break (a bill, etc.)"
1604160	麻痺;痲痺	まひ;マヒ	paralysis;palsy;numbness;stupor
1587300	痛み;傷み	いたみ	"pain;ache;soreness;grief;distress
damage;injury;wear;bruise;break"
1545640	揺らす	ゆらす	to rock;to shake;to swing
1609650	感ずる	かんずる	to feel;to sense
1183330	温もり	ぬくもり	warmth
1529520	無い	ない	"nonexistent;not being (there)
unpossessed;unowned;not had
unique
indicates negation, inexperience, unnecessariness or impossibility
not ...
to not be...;to have not ..."
1487660	必要;必用	ひつよう	"necessary;needed;essential;indispensable
necessity;need;requirement"
2313060	デフラグ	デフラグ	Defrag
2374060	断片化	だんぺんか	fragmentation
1303270	惨い;酷い	むごい	"cruel;merciless;pitiless;brutal;atrocious;inhuman
tragic;horrible;terrible;dreadful;miserable"
1257800	捲る	まくる	"to turn up;to roll up (e.g. sleeves)
to do a lot of ...
to stage a comeback (against) (in mahjong, horse racing, etc.);to come from behind"
1595840	擦り切れる;すり切れる;摩り切れる;擦切れる	すりきれる	to wear out
1373130	数多	あまた;すうた	many;a lot;much;multitude
1312000	視界	しかい	field of vision;visibility;view;visual field;(one's) ken
1556750	冷める	さめる	"to become cool (e.g. from a high temperature to room temperature);to come down (fever)
to cool down (interest);to abate;to subside;to dampen"
2602260	強請り;強請	ねだり	begging;pestering;pleading;coaxing
1599680	倣う;傚う;慣らう	ならう	to imitate;to follow;to emulate
1561850	論理	ろんり	"logic
logical"
1259920	見渡す;見わたす	みわたす	to look out over;to survey (scene);to take an extensive view of
1247030	繰り返す;くり返す;繰りかえす;繰返す	くりかえす	to repeat;to do something over again
1250870	景色	けしき;けいしょく	scenery;scene;landscape
1510790	変わる;変る	かわる	"to change;to be transformed;to be altered;to vary
to move to
to be different;to be uncommon;to be unusual"
1197610	画面	がめん	terminal screen;scene;picture;the field (in TV);photo
