id	word	readings	meanings
1390810	浅ましい;浅間しい	あさましい	wretched;miserable;shameful;mean;despicable;abject
2827320	突き込む;突込む;突きこむ	つきこむ	"to thrust (something) into (something);to cram
to plunge into;to go into deeply
to get involved with;to meddle;to poke one's nose into
to riposte;to retort;to quip"
1303280	惨め;不見目	みじめ	miserable;wretched;unhappy;sad;pitiable
2669070	つつも	つつも	even though;despite
1721790	絶え絶え	たえだえ	feeble;faint
1162370	一口;ひと口	ひとくち	"mouthful;morsel;bite
gulp;sip;draft;draught
one word;in short
one share;one contribution"
1203270	外す	はずす	"to unfasten;to undo
to remove;to take off;to deinstall
to leave;to step out;to slip away
to miss (a target)"
1390700	戦慄く;戦く	わななく	to tremble;to shiver;to shake
2612960	賭弓;賭射	のりゆみ	"prize archery
imperial archery event held annually on the 18th day of the first lunar month (Heian period)"
2016920	幾度となく	いくどとなく	on countless occasions;many a time
1163490	一笑	いっしょう	laugh;smile
1413140	大屋;大家	おおや	landlord;landlady
1444420	徒	と	party;set;gang;company;person
1753050	売文	ばいぶん	hack writer
1308100	市井	しせい;いちい	the street;the town
1471490	破廉恥	はれんち;ハレンチ	infamous;shameless
1394600	漸く	ようやく	"finally;at last
barely;narrowly;hardly;only just
gradually;little by little;by degrees"
1321590	偲ぶ	しのぶ	"to recollect;to remember;to reminisce;to be nostalgic for
to imagine;to guess;to infer"
1956010	貫	かん	"kan (obs. unit of weight, approx. 3.75 kg, 8.3 lb)
kan (obs. unit of currency)
pieces of sushi"
1356620	杖	つえ	cane;walking stick;staff;wand
1649550	濁酒;濁醪	どぶろく;だくしゅ;じょくしゅ	unrefined sake
1494750	不文	ふぶん	"unwritten
illiterate;uneducated
poor writing"
1173030	運命	うんめい	fate;destiny;lot
1950170	一篇;一編	いっぺん	piece (e.g. poetry);poem;essay;book;story
1610090	早春	そうしゅん	early spring
1327850	手招き;手まねき	てまねき	beckoning
1954520	浜木綿	はまゆう	crinum
1433810	椿;山茶	つばき;さんちゃ;ツバキ	"common camellia;Camellia japonica
tea produced in the mountains"
1262990	幻灯;幻燈	げんとう	slide projector;magic lantern
1234120	競作	きょうさく	competition for better work
2826358	乃公	だいこう;ないこう;おれ	I;me
1013270	列記	れっき	list;enumeration
1532420	明記	めいき	clear writing;specification
1438060	典雅	てんが	grace;elegance;refined;classic
2795460	結婚詐欺	けっこんさぎ	marriage fraud;fake marriage
1229390	求刑	きゅうけい	recommended sentence;prosecution's demand for punishment
1690540	薄笑い	うすわらい	faint smile
