id	word	readings	meanings
1010150	はっきり;ハッキリ	はっきり;ハッキリ	"clearly;plainly;distinctly
to be clear;to be definite;to be certain;to be exact;to become clear;to clear up"
1351360	笑う;咲う;嗤う	わらう	"to laugh
to smile
to sneer;to ridicule
to be dumbfounded;to be flabbergasted"
1395660	全体	ぜんたい	whole;entirety;whatever (is the matter)
1362810	深夜	しんや	late at night
1222400	気絶	きぜつ	faint;swoon
1445790	倒れる;斃れる;仆れる;殪れる	たおれる	"to fall;to collapse;to drop;to fall senseless
to be forced to bed (by illness, etc.)
to die
to go bankrupt;to be ruined;to have a bad debt
to be defeated (in a game)
to fall (of governments, dictators, etc.)"
1349380	床;牀	ゆか	"floor
stage (for the narrator and the shamisen player)
dining platform built across a river"
2668870	人造石	じんぞうせき	artificial stone;fake rock
1088270	ドタン	どたん	thud
1351560	衝突	しょうとつ	"collision;crash;running into
conflict;quarrel;clashing"
1364060	真正面	ましょうめん	directly opposite;right in front
1366770	人間	にんげん	"human being;person;man;mankind;humankind
character (of a person)"
2011580	真っ黒い	まっくろい	pitch black;deep black
1582200	途中	とちゅう	"on the way;en route
in the middle of;midway"
1457030	突進	とっしん	rush;charge
1560670	廊下	ろうか	corridor;hallway;passageway
1983740	通ずる	つうずる	"to be open (to traffic);to lead to;to communicate (with)
to flow (liquid, current);to pass;to get through to
to be understood;to be comprehended
to be honored;to be good
to be well versed in;to be well-informed
to communicate clandestinely;to keep in touch (e.g. with the enemy)
to form a liaison;to be intimate"
1485350	飛び出す;飛びだす;飛出す;跳び出す;跳びだす	とびだす	"to jump out;to rush out;to fly out
to appear (suddenly)
to protrude;to project
to butt in"
1598860	飛び下りる;飛び降りる;跳び降りる;飛降りる	とびおりる	to jump down;to jump off;to jump from;to jump out of
1580570	寝台	しんだい;ねだい	bed;couch
1547660	裸足;跣;跣足	はだし;せんそく	"barefoot
superior to (a professional, etc. in ability or achievement)"
1333440	蹴飛ばす;蹴とばす	けとばす	"to kick away;to kick off;to kick hard
to refuse curtly;to reject outright"
1333310	襲いかかる;襲い掛かる;襲い掛る	おそいかかる	to rush on;to attack;to swoop down on
1254340	決心	けっしん	determination;resolution
1457040	突然	とつぜん	abrupt;sudden;unexpected;all at once
1586840	或;或る	ある	a certain ...;some ...
1239160	凝視	ぎょうし	stare;gaze;fixation
1005870	凝乎と	じっと;じーっと;じーと;じいっと	"motionlessly (e.g. stand, wait);(be) still
fixedly (e.g. gaze, stare);intently (e.g. listen, think)
patiently (endure);stoically
firmly (e.g. hold);restrained"
1205590	核心	かくしん	core;heart (of the matter);point;crux;kernel
2386360	分間	ふんかん	minutes (period of)
1324320	若しくは	もしくは	or;otherwise
1490430	秒	びょう	second (60th min)
1771770	増配	ぞうはい	increased ration;increased dividend
1577980	居る	いる	"to be (of animate objects);to exist
to stay
verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)"
1524930	又;亦;復	また	again;and;also;still (doing something)
1236690	恐ろしい;怖ろしい	おそろしい	"terrible;dreadful;terrifying;frightening;frightened
surprising;startling;tremendous;amazing"
1573370	躊躇	ちゅうちょ	hesitation;indecision;vacillation
1479480	半身	はんしん	half the body;half length
1154370	暗闇;暗やみ	くらやみ	darkness;the dark
1470840	覗く;覘く;窺く;臨く	のぞく	"to peek (though a keyhole, gap, etc.)
to look down into (a ravine, etc.)
to peek into (a shop, bookstore, etc.)
to sneak a look at;to take a quick look at
to peep (through a telescope, microscope, etc.)
to stick out (a scarf from a collar, etc.);to peek through (sky through a forest canopy, etc.)
to face"
1555830	隣;隣り;鄰	となり	neighbor (neighbour);next to (esp. living next door to)
1010430	ぱっちり	ぱっちり	(of eyes) big and beautiful, or open wide
