id	word	readings	meanings
2188800	初挑戦	はつちょうせん	first challenge;first try
1433070	通過	つうか	"passage through (e.g. train skipping a station);transit
passing (e.g. exam, bill through parliament)"
1188600	何れも	どれも;いずれも	both;either;any;all;every;none (with neg. verb)
1428240	挑戦	ちょうせん	challenge;defiance;dare;attempt;try
1294210	最短	さいたん	shortest
1339220	出場	しゅつじょう	"(stage) appearance;performance
participation (e.g. in a tournament)"
1947450	名人戦	めいじんせん	professional go players' championship series;professional shogi players' championship series
1589090	収める;納める	おさめる	"to dedicate;to make an offering;to pay (fees)
to supply
to store
to finish;to bring to a close
to restore (something to its place)
to achieve (e.g. a result)"
1889400	総当たり戦	そうあたりせん	round robin event
1600290	伸ばす;延ばす	のばす	"to grow long (e.g. hair, nails)
to lengthen;to extend;to stretch
to reach out;to hold out
to straighten;to smooth out
to spread evenly (dough, cream, etc.)
to dilute;to thin out
to postpone
to prolong
to strengthen;to develop;to expand"
1192850	果たす;果す	はたす	"to accomplish;to achieve;to carry out;to fulfill;to fulfil;to realize;to execute;to perform;to do
to do ... completely;to do ... entirely"
1335830	重ねる	かさねる	"to pile up;to put something on top of another;to stack up
to repeat many times over;to go through something repeatedly"
1433230	通算	つうさん	total
1302090	参加	さんか	participation
1238700	驚異	きょうい	wonder;miracle;amazement;prodigy
1270990	語る	かたる	"to talk about;to speak of;to tell;to narrate
to recite;to chant
to indicate;to show"
1800000	競争相手	きょうそうあいて	competitor;rival
1308900	師匠	ししょう	"master;teacher
coach who owns his stable"
1289080	今期	こんき	the present term
1392750	前期	ぜんき	first term;first half-year;preceding period;early period
1309670	指す	さす	"to point
to nominate;to select someone;to specify some person
to identify;to indicate;to point out
to play (a game of shogi);to move (a piece)
to extend one's arm straight ahead (in dance)"
1205880	確定	かくてい	"decision;settlement
definition"
1472510	敗れる	やぶれる	to be defeated;to be beaten;to be unsuccessful;to lose
1158450	維持	いじ	maintenance;preservation;improvement
1234040	競う	きそう	"to compete with
to emulate"
1375760	成績	せいせき	results;record;grades;marks
1432330	追い込む	おいこむ	to herd;to corner;to drive
1956760	投了	とうりょう	resignation;giving up the game for lost
1315590	持ち込む;持ちこむ;持込む	もちこむ	"to take something into ...;to bring in;to carry in
to lodge (a complaint);to file (a plan);to bring (a proposal);to commence negotiations
to bring to (a state: tied game, vote, trial, etc.)"
1440600	展開	てんかい	"development;evolution;progressing;unfolding
expansion;spreading out;extending;deployment;building up
expansion"
1539340	優勢	ゆうせい	superiority;superior power;predominance;preponderance
1316690	次第に	しだいに	"gradually (progress into a state)
in sequence;in order;in turn"
1956490	陣	じん	"battle formation
camp;encampment;position
group;gang;party;corps
war;battle;campaign"
1279140	攻め入る	せめいる	to invade
1383030	積極的	せっきょくてき	assertive;positive;active;proactive
1594690	首位;主位	しゅい	first place;head position;leading position
1417780	単独	たんどく	"sole;single;solo
independence;singleness;singularity"
1296530	在籍	ざいせき	enrollment;enrolment
1430240	頂点	ちょうてん	"top;summit
vertex"
1220640	棋士	きし	shogi player;go player
1349750	昇級	しょうきゅう	promotion;advancement
1655370	対局	たいきょく	(playing) a game of go, shogi or chess, etc.
2650390	順位戦	じゅんいせん	rank-deciding competitions (e.g. in go or shogi)
